evaluation_date,evaluation_id,dataset_name,agent_config,alerts_evaluated,mitre_accuracy,cve_accuracy,total_accuracy,avg_time,avg_tokens,avg_llm_calls
2026-06-05 14:41:15.808013,EVAL-524C6B,Example,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': False, 'report_dir': 'reports', 'mitre_top_k': 5}",3,33.33333333333333,0.0,33.33333333333333,4.64,6292.0,2.0
2026-06-05 14:51:17.099029,EVAL-D9D0FC,Example,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': False, 'report_dir': 'reports', 'mitre_top_k': 5}",3,66.66666666666666,0.0,66.66666666666666,8.99,6022.33,2.0
2026-06-05 14:57:28.176032,EVAL-F00D5E,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': False, 'report_dir': 'reports', 'mitre_top_k': 5}",20,45.0,0.0,45.0,6.07,6792.3,2.0
2026-06-10 21:18:25.555064,EVAL-A6455E,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 5}",20,90.0,0.0,90.0,10.52,9216.95,3.0
2026-06-10 21:59:14.820332,EVAL-E7546E,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 5}",20,60.0,0.0,60.0,10.4,9020.95,3.0
2026-06-12 10:13:13.720443,EVAL-1F33FF,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': False, 'report_dir': 'reports', 'mitre_top_k': 10}",20,60.0,0.0,60.0,6.76,8728.95,2.0
2026-06-12 10:25:44.764483,EVAL-954B6E,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': False, 'report_dir': 'reports', 'mitre_top_k': 10}",20,55.00000000000001,0.0,55.00000000000001,6.29,8942.95,2.0
2026-06-12 11:03:19.369551,EVAL-0CD507,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': False, 'report_dir': 'reports', 'mitre_top_k': 10}",20,65.0,0.0,65.0,7.28,8934.1,2.0
2026-06-12 15:08:38.138543,EVAL-33B16C,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,60.0,0.0,60.0,13.02,11232.65,3.0
2026-06-12 19:29:55.265742,EVAL-95C3DB,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,80.0,0.0,80.0,12.36,12003.85,3.0
2026-06-13 12:42:46.634922,EVAL-C5E6B1,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,80.0,0.0,80.0,23.54,12003.85,3.0
2026-06-13 12:55:30.373604,EVAL-D86B40,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,75.0,0.0,75.0,25.47,11915.55,3.0
2026-06-13 13:20:27.540528,EVAL-EDB09C,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",3,66.66666666666666,0.0,66.66666666666666,21.54,9767.0,3.0
2026-06-13 13:27:55.043829,EVAL-743D89,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",3,66.66666666666666,0.0,66.66666666666666,18.33,9767.0,3.0
2026-06-13 13:37:24.961649,EVAL-82FCDF,Unique Alerts,"{'use_context_window': False, 'context_window_size': 10, 'generate_report': False, 'report_dir': 'reports', 'mitre_top_k': 10}",20,70.0,0.0,70.0,15.69,9695.95,2.0
2026-06-13 17:07:25.398863,EVAL-15B5B5,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'generate_report': False, 'report_dir': 'reports', 'mitre_top_k': 10}",20,80.0,0.0,80.0,19.03,10416.2,2.0
2026-06-15 10:03:26.951059,EVAL-E97A66,Unique Alerts,"{'use_context_window': False, 'context_window_size': 4, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,80.0,0.0,80.0,15.55,16302.2,3.0
2026-06-15 10:36:47.094004,EVAL-161304,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,85.0,0.0,85.0,16.42,13414.05,3.0
2026-06-15 13:07:29.101882,EVAL-BC7AB0,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,70.0,0.0,70.0,18.8,13045.7,3.0
2026-06-15 13:13:50.032771,EVAL-0902E3,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,85.0,0.0,85.0,14.39,13516.0,3.0
2026-06-16 12:34:16.809430,EVAL-A4AD8D,CVE sintetico (15),"{'use_context_window': False, 'context_window_size': 4, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",15,0.0,73.33333333333333,0.0,18.96,16594.33,3.0
2026-06-16 14:12:04.267926,EVAL-D2C29A,CVE sintetico (15),"{'use_context_window': False, 'context_window_size': 4, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",15,0.0,20.0,0.0,145.27,13798.93,3.0
2026-06-16 14:24:17.880725,EVAL-A3747E,CVE sintetico (15),"{'use_context_window': False, 'context_window_size': 4, 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",15,0.0,33.33333333333333,0.0,16.25,12132.67,3.0
2026-06-16 15:23:25.269605,EVAL-894CB6,CVE sintetico (15),"{'use_context_window': False, 'context_window_size': 4, 'generate_report': False, 'report_dir': 'reports', 'mitre_top_k': 10}",15,0.0,33.33333333333333,0.0,69.79,7718.53,2.0
2026-06-17 13:06:35.812918,EVAL-95CDBB,Unique Alerts,"{'use_context_window': False, 'context_window_size': 8, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,70.0,0.0,70.0,10.84,12517.9,3.0
2026-06-17 13:14:11.524293,EVAL-602432,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,80.0,0.0,80.0,10.54,13947.9,3.0
2026-06-18 12:46:08.108141,EVAL-04D59B,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,80.0,0.0,80.0,113.13,10674.2,3.0
2026-06-18 12:56:11.524861,EVAL-0B5CB3,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,80.0,0.0,80.0,10.82,9995.9,3.0
2026-06-18 13:23:08.500915,EVAL-86CB9E,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 5}",20,75.0,0.0,75.0,10.19,10110.9,3.0
2026-06-18 13:57:52.459817,EVAL-932282,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 5}",20,60.0,0.0,60.0,97.25,10605.7,3.0
2026-06-18 15:23:21.845564,EVAL-AA144A,Unique Alerts,"{'use_context_window': False, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 5}",20,60.0,0.0,60.0,92.66,9234.95,3.0
2026-06-18 16:09:55.311184,EVAL-B068F6,Unique Alerts,"{'use_context_window': False, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,80.0,0.0,80.0,110.95,9398.55,3.0
2026-06-19 13:14:56.862086,EVAL-D1F60D,CVE sintetico (15),"{'use_context_window': False, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",15,0.0,20.0,0.0,129.44,12063.73,3.0
2026-06-19 14:01:57.544489,EVAL-91315F,CVE sintetico (15),"{'use_context_window': False, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 5}",15,0.0,33.33333333333333,0.0,109.93,9554.87,3.0
2026-06-19 14:10:11.900388,EVAL-79E93D,CVE sintetico (15),"{'use_context_window': False, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 5}",15,0.0,73.33333333333333,0.0,10.89,8429.67,3.0
2026-06-21 00:43:33.978794,EVAL-962517,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,85.0,0.0,85.0,34.35,12766.35,3.0
2026-06-22 14:13:31.564702,EVAL-46BA4E,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,85.0,0.0,85.0,11.29,12764.65,3.0
2026-06-22 20:32:49.320560,EVAL-3548AF,Unique Alerts,"{'use_context_window': False, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",20,80.0,0.0,80.0,10.66,11434.6,3.0
2026-06-22 20:37:32.892732,EVAL-3CC2EE,Unique Alerts,"{'use_context_window': False, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 5}",20,70.0,0.0,70.0,10.08,8879.1,3.0
2026-06-24 13:06:14.305628,EVAL-E4DB91,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",1,100.0,0.0,100.0,15.23,12582.0,3.0
2026-06-24 13:11:09.056344,EVAL-60F344,Unique Alerts,"{'use_context_window': True, 'context_window_size': 4, 'context_mode': 'AROUND', 'generate_report': True, 'report_dir': 'reports', 'mitre_top_k': 10}",1,100.0,0.0,100.0,15.27,12582.0,3.0
